experiment_id,scenario,start_ts,duration_s,seed
1,BURST,1783188749.749,10.8,7480023
2,ELEPHANT_FLOW,1783188766.504,99.0,6184052
3,CONGESTION,1783188872.790,81.7,4527081
4,MIX_TCP,1783188961.059,46.8,9020849
5,LOW_LOAD,1783189014.320,31.5,7477456
6,FAILURE,1783189051.681,33.6,9181831
7,MIX_UDP,1783189091.174,33.5,4848052
8,MEDIUM_LOAD,1783189131.187,45.1,1916759
9,BACKGROUND_TRAFFIC,1783189182.142,83.6,1308321
10,MIX_TCP,1783189273.061,40.3,1737823
11,BACKGROUND_TRAFFIC,1783189319.178,77.1,20597
12,FAILURE,1783189403.576,77.7,9677242
13,MIX_TCP,1783189487.861,25.6,4817841
14,CONGESTION,1783189519.310,58.7,4485988
15,MEDIUM_LOAD,1783189584.617,30.7,3517996
16,IDLE,1783189621.889,18.0,8407849
17,HIGH_LOAD,1783189645.006,51.1,6962686
18,CONGESTION,1783190304.329,46.1,572192
19,MIX_TCP,1783190355.608,48.5,2479841
20,CONGESTION,1783190409.242,66.4,8822941
21,MEDIUM_LOAD,1783190480.855,48.9,9170608
22,MANY_MICE,1783190534.987,4.9,4612268
23,BACKGROUND_TRAFFIC,1783190545.036,96.5,8324487
24,MEDIUM_LOAD,1783190646.651,35.8,9199328
25,ELEPHANT_FLOW,1783190687.671,70.3,2819424
