experiment_id,scenario,start_ts,duration_s,seed
1,FAILURE,1783210369.939,86.8,1343278
2,CONGESTION,1783210465.344,37.5,9626015
3,MANY_MICE,1783210510.350,1.9,8230160
4,ELEPHANT_FLOW,1783210517.371,118.3,2215785
5,FAILURE,1783210645.467,64.4,5337128
6,FAILURE,1783210717.370,81.2,1634321
7,FAILURE,1783210806.099,71.6,3154166
8,HIGH_LOAD,1783210886.374,71.2,4438979
9,CONGESTION,1783210965.121,52.8,891634
10,BACKGROUND_TRAFFIC,1783211025.434,97.7,4256463
11,MIX_UDP,1783211131.848,35.9,3804009
12,FAILURE,1783211174.152,52.0,6749892
13,MEDIUM_LOAD,1783211233.950,55.6,4526445
14,LOW_LOAD,1783211297.202,39.4,3358339
15,FAILURE,1783211343.230,86.6,8392740
16,BURST,1783211438.596,11.7,3125646
17,FAILURE,1783211456.611,51.9,5548789
18,HIGH_LOAD,1783211516.069,54.3,1450675
19,MANY_MICE,1783211576.694,5.6,9985727
20,ELEPHANT_FLOW,1783211588.598,96.7,6176401
21,HIGH_LOAD,1783211694.044,35.3,8382930
22,ELEPHANT_FLOW,1783211735.763,103.4,246415
23,BACKGROUND_TRAFFIC,1783211848.999,88.9,923889
24,BURST,1783211946.794,3.9,1868699
25,BACKGROUND_TRAFFIC,1783211955.778,93.6,3877050
26,MIX_UDP,1783212058.099,54.0,4598360
27,MANY_MICE,1783212119.654,5.5,5981891
28,LOW_LOAD,1783212130.331,39.5,2756734
29,ELEPHANT_FLOW,1783212176.223,81.4,1829795
30,MIX_UDP,1783212266.262,48.1,9282271
