timestamp,flow,mbps,pps,avg_pkt,std_pkt,tcp_ratio,udp_ratio,flow_count,active_hosts
0.0,10.0.0.1-10.0.0.5,18.9224,91.0,25992.3,31742.8,1.0,0.0,2,4
1.0,10.0.0.1-10.0.0.5,21.0254,102.0,25766.4,31695.9,1.0,0.0,2,4
2.0,10.0.0.1-10.0.0.5,18.9198,86.0,27499.7,32013.0,1.0,0.0,2,4
3.0,10.0.0.1-10.0.0.5,21.0243,100.0,26280.4,31800.1,1.0,0.0,2,4
4.0,10.0.0.1-10.0.0.5,18.9251,96.0,24642.0,31437.4,1.0,0.0,2,4
5.0,10.0.0.1-10.0.0.5,21.0233,98.0,26815.4,31899.5,1.0,0.0,2,4
6.0,10.0.0.1-10.0.0.5,18.9208,88.0,26876.2,31910.2,1.0,0.0,2,4
7.0,10.0.0.1-10.0.0.5,21.0243,100.0,26280.4,31800.1,1.0,0.0,2,4
8.0,10.0.0.1-10.0.0.5,18.9208,88.0,26876.2,31910.2,1.0,0.0,2,4
9.0,10.0.0.1-10.0.0.5,21.0264,104.0,25272.2,31587.5,1.0,0.0,2,4
10.0,10.0.0.1-10.0.0.5,18.9208,88.0,26876.2,31910.2,1.0,0.0,2,4
11.0,10.0.0.1-10.0.0.5,21.0254,102.0,25766.4,31695.9,1.0,0.0,2,4
12.0,10.0.0.1-10.0.0.5,18.9187,84.0,28152.9,32107.5,1.0,0.0,2,4
13.0,10.0.0.1-10.0.0.5,21.0233,98.0,26815.4,31899.5,1.0,0.0,2,4
14.0,10.0.0.1-10.0.0.5,21.0243,100.0,26280.4,31800.1,1.0,0.0,2,4
15.0,10.0.0.1-10.0.0.5,18.924,94.0,25164.9,31562.9,1.0,0.0,2,4
16.0,10.0.0.1-10.0.0.5,21.0212,94.0,27953.7,32080.1,1.0,0.0,2,4
17.0,10.0.0.1-10.0.0.5,18.9208,88.0,26876.2,31910.2,1.0,0.0,2,4
18.0,10.0.0.1-10.0.0.5,21.0254,102.0,25766.4,31695.9,1.0,0.0,2,4
19.0,10.0.0.1-10.0.0.5,18.9219,90.0,26280.4,31800.1,1.0,0.0,2,4
20.0,10.0.0.1-10.0.0.5,21.0264,104.0,25272.2,31587.5,1.0,0.0,2,4
21.0,10.0.0.1-10.0.0.5,18.9198,86.0,27499.7,32013.0,1.0,0.0,2,4
22.0,10.0.0.1-10.0.0.5,21.0254,102.0,25766.4,31695.9,1.0,0.0,2,4
23.0,10.0.0.1-10.0.0.5,18.9187,84.0,28152.9,32107.5,1.0,0.0,2,4
24.0,10.0.0.1-10.0.0.5,21.0243,100.0,26280.4,31800.1,1.0,0.0,2,4
25.0,10.0.0.1-10.0.0.5,18.9219,90.0,26280.4,31800.1,1.0,0.0,2,4
26.0,10.0.0.1-10.0.0.5,21.0529,134.0,19638.9,29738.8,1.0,0.0,2,4
28.0,10.0.0.1-10.0.0.5,6.3484,100.0,7935.5,15616.2,1.0,0.0,3,6
29.0,10.0.0.1-10.0.0.5,98.8206,482.0,25627.8,31666.3,1.0,0.0,3,6
30.0,10.0.0.1-10.0.0.5,100.9104,468.0,26952.6,31923.4,1.0,0.0,3,6
31.0,10.0.0.1-10.0.0.5,100.9157,478.0,26390.1,31821.3,1.0,0.0,3,6
32.0,10.0.0.1-10.0.0.5,98.8111,464.0,26619.4,31864.1,1.0,0.0,3,6
33.0,10.0.0.1-10.0.0.5,100.9093,466.0,27068.0,31943.1,1.0,0.0,3,6
34.0,10.0.0.1-10.0.0.5,100.9125,472.0,26724.7,31883.3,1.0,0.0,3,6
35.0,10.0.0.1-10.0.0.5,58.8557,268.0,27451.4,32008.3,1.0,0.0,3,6
36.0,10.0.0.1-10.0.0.5,98.8175,476.0,25950.0,31734.1,1.0,0.0,3,6
37.0,10.0.0.1-10.0.0.5,100.9136,474.0,26612.2,31862.8,1.0,0.0,3,6
38.0,10.0.0.1-10.0.0.5,100.9146,476.0,26500.7,31842.2,1.0,0.0,3,6
39.0,10.0.0.1-10.0.0.5,98.809,460.0,26850.3,31905.6,1.0,0.0,3,6
40.0,10.0.0.1-10.0.0.5,100.9093,466.0,27068.0,31943.1,1.0,0.0,3,6
41.0,10.0.0.1-10.0.0.5,100.9125,472.0,26724.7,31883.3,1.0,0.0,3,6
42.0,10.0.0.1-10.0.0.5,98.8175,476.0,25950.0,31734.1,1.0,0.0,3,6
43.0,10.0.0.1-10.0.0.5,100.9136,474.0,26612.2,31862.8,1.0,0.0,3,6
44.0,10.0.0.1-10.0.0.5,100.9146,476.0,26500.7,31842.2,1.0,0.0,3,6
45.0,10.0.0.1-10.0.0.5,56.7459,244.0,29070.7,32220.4,1.0,0.0,3,6
46.0,10.0.0.1-10.0.0.5,100.382,466.0,26926.5,31919.7,1.0,0.0,3,6
47.0,10.0.0.1-10.0.0.5,100.9136,474.0,26612.2,31862.8,1.0,0.0,3,6
48.0,10.0.0.1-10.0.0.5,73.6067,368.0,25002.3,31096.6,1.0,0.0,3,6
49.0,10.0.0.1-10.0.0.5,42.0698,240.0,21911.3,30629.2,1.0,0.0,3,6
50.0,10.0.0.1-10.0.0.5,74.1344,403.0,22994.5,30504.8,1.0,0.0,3,6
51.0,10.0.0.1-10.0.0.5,92.3976,432.0,26735.4,31581.8,1.0,0.0,3,6
52.0,10.0.0.1-10.0.0.5,100.9157,478.0,26390.1,31821.3,1.0,0.0,3,6
53.0,10.0.0.1-10.0.0.5,100.9115,470.0,26838.2,31903.5,1.0,0.0,3,6
54.0,10.0.0.1-10.0.0.5,98.1805,405.0,30302.6,31746.7,1.0,0.0,3,6
55.0,10.0.0.1-10.0.0.5,98.8206,482.0,25627.8,31666.3,1.0,0.0,3,6
56.0,10.0.0.1-10.0.0.5,100.9262,498.0,25332.9,31601.2,1.0,0.0,3,6
57.0,10.0.0.1-10.0.0.5,100.9188,484.0,26063.8,31757.3,1.0,0.0,3,6
58.0,10.0.0.1-10.0.0.5,94.6487,504.0,23474.4,31121.0,1.0,0.0,3,6
60.0,10.0.0.1-10.0.0.5,0.021,32.0,82.1,35.5,1.0,0.0,3,6
61.0,10.0.0.1-10.0.0.5,338.5473,1587.0,26665.7,31637.2,1.0,0.0,4,8
62.0,10.0.0.1-10.0.0.5,355.7035,1684.0,26403.2,31575.2,1.0,0.0,4,8
63.0,10.0.0.1-10.0.0.5,400.4788,1817.0,27550.8,32008.7,1.0,0.0,4,8
64.0,10.0.0.1-10.0.0.5,399.4369,1806.0,27646.5,32033.8,1.0,0.0,4,8
65.0,10.0.0.1-10.0.0.5,399.3444,1654.0,30180.2,32275.7,1.0,0.0,4,8
66.0,10.0.0.1-10.0.0.5,290.9501,1017.0,35760.8,32149.6,1.0,0.0,4,8
67.0,10.0.0.1-10.0.0.5,246.3803,929.0,33151.3,32311.0,1.0,0.0,4,8
68.0,10.0.0.1-10.0.0.5,126.0585,506.0,31140.9,32377.9,1.0,0.0,4,8
69.0,10.0.0.1-10.0.0.5,118.6343,478.0,31023.6,32391.0,1.0,0.0,4,8
70.0,10.0.0.1-10.0.0.5,311.5629,1313.0,29661.4,32277.5,1.0,0.0,4,8
71.0,10.0.0.1-10.0.0.5,325.8109,1471.0,27686.2,32043.6,1.0,0.0,4,8
72.0,10.0.0.1-10.0.0.5,299.9211,1133.0,33089.3,32394.5,1.0,0.0,4,8
73.0,10.0.0.1-10.0.0.5,337.8076,1340.0,31511.9,32383.1,1.0,0.0,4,8
74.0,10.0.0.1-10.0.0.5,361.5206,1560.0,28968.0,32207.7,1.0,0.0,4,8
75.0,10.0.0.1-10.0.0.5,399.9715,1785.0,28009.2,32084.8,1.0,0.0,4,8
76.0,10.0.0.1-10.0.0.5,398.8619,1762.0,28296.1,32126.6,1.0,0.0,4,8
77.0,10.0.0.1-10.0.0.5,350.5634,1583.0,27681.9,32038.6,1.0,0.0,4,8
78.0,10.0.0.1-10.0.0.5,401.4811,1752.0,28644.5,32169.6,1.0,0.0,4,8
79.0,10.0.0.1-10.0.0.5,269.6288,1238.0,27224.2,31967.6,1.0,0.0,4,8
80.0,10.0.0.1-10.0.0.5,305.3477,1389.0,27479.1,32009.7,1.0,0.0,4,8
81.0,10.0.0.1-10.0.0.5,171.2924,753.0,28435.0,32148.0,1.0,0.0,4,8
82.0,10.0.0.1-10.0.0.5,187.1034,849.0,27547.6,32019.4,1.0,0.0,4,8
83.0,10.0.0.1-10.0.0.5,225.9323,982.0,28759.2,32186.9,1.0,0.0,4,8
84.0,10.0.0.1-10.0.0.5,107.1548,419.0,31967.4,32400.4,1.0,0.0,4,8
85.0,10.0.0.1-10.0.0.5,249.54,1070.0,29151.9,32233.1,1.0,0.0,4,8
86.0,10.0.0.1-10.0.0.5,201.7947,898.0,28089.5,32099.7,1.0,0.0,4,8
87.0,10.0.0.1-10.0.0.5,337.937,1547.0,27305.8,31982.3,1.0,0.0,4,8
88.0,10.0.0.1-10.0.0.5,358.4567,1690.0,26513.1,31844.5,1.0,0.0,4,8
89.0,10.0.0.1-10.0.0.5,399.4675,1864.0,26788.3,31893.0,1.0,0.0,4,8
90.0,10.0.0.1-10.0.0.5,401.5423,1868.0,26869.8,31909.0,1.0,0.0,4,8
91.0,10.0.0.1-10.0.0.5,56.8356,336.0,21144.2,30340.4,1.0,0.0,4,8
113.0,10.0.0.1-10.0.0.5,16.8669,162.0,13014.6,23816.3,1.0,0.0,2,4
114.0,10.0.0.1-10.0.0.5,103.0234,498.0,25859.3,31715.4,1.0,0.0,2,4
115.0,10.0.0.1-10.0.0.5,89.3935,501.0,22303.8,30581.7,1.0,0.0,2,4
116.0,10.0.0.1-10.0.0.5,57.809,260.0,27792.8,32057.1,1.0,0.0,2,4
117.0,10.0.0.1-10.0.0.5,37.8448,182.0,25992.3,31742.8,1.0,0.0,2,4
118.0,10.0.0.1-10.0.0.5,205.8264,928.0,27724.5,31494.1,1.0,0.0,2,4
119.0,10.0.0.1-10.0.0.5,121.9337,566.0,26928.8,31919.3,1.0,0.0,2,4
120.0,10.0.0.1-10.0.0.5,121.9368,572.0,26647.0,31869.2,1.0,0.0,2,4
121.0,10.0.0.1-10.0.0.5,107.242,524.0,25582.5,31653.9,1.0,0.0,2,4
123.0,10.0.0.1-10.0.0.5,247.6261,1298.0,23846.9,31017.5,1.0,0.0,2,4
124.0,10.0.0.1-10.0.0.5,277.4915,1264.0,27441.8,32004.0,1.0,0.0,2,4
125.0,10.0.0.1-10.0.0.5,275.3975,1270.0,27106.1,31949.5,1.0,0.0,2,4
126.0,10.0.0.1-10.0.0.5,248.0574,1124.0,27586.5,32026.4,1.0,0.0,2,4
127.0,10.0.0.1-10.0.0.5,293.2259,1289.0,28435.4,32144.9,1.0,0.0,2,4
128.0,10.0.0.1-10.0.0.5,43.0806,179.0,30084.2,32311.8,1.0,0.0,2,4
129.0,10.0.0.1-10.0.0.5,264.3406,1187.0,27837.0,32063.8,1.0,0.0,2,4
130.0,10.0.0.1-10.0.0.5,155.5525,688.0,28261.7,32121.9,1.0,0.0,2,4
131.0,10.0.0.1-10.0.0.5,23.1511,136.0,21278.6,30393.6,1.0,0.0,2,4
133.0,10.0.0.1-10.0.0.5,67.837,384.0,22082.4,30152.5,1.0,0.0,2,4
134.0,10.0.0.1-10.0.0.5,186.5638,842.0,27696.5,32043.4,1.0,0.0,2,4
135.0,10.0.0.1-10.0.0.5,71.4837,342.0,26127.1,31770.0,1.0,0.0,2,4
136.0,10.0.0.1-10.0.0.5,79.8903,376.0,26559.3,31853.1,1.0,0.0,2,4
137.0,10.0.0.1-10.0.0.5,182.6733,812.0,28120.9,31542.6,1.0,0.0,2,4
138.0,10.0.0.1-10.0.0.5,418.9866,1645.0,31837.9,32005.1,1.0,0.0,2,4
139.0,10.0.0.1-10.0.0.5,235.4291,1038.0,28351.3,32133.5,1.0,0.0,2,4
140.0,10.0.0.1-10.0.0.5,254.352,1130.0,28136.3,32105.3,1.0,0.0,2,4
141.0,10.0.0.1-10.0.0.5,23.151,136.0,21278.5,30393.6,1.0,0.0,2,4
143.0,10.0.0.1-10.0.0.5,220.2863,1141.0,24133.0,30970.5,1.0,0.0,2,4
144.0,10.0.0.1-10.0.0.5,244.4071,1167.0,26179.0,31780.6,1.0,0.0,2,4
145.0,10.0.0.1-10.0.0.5,245.9529,1110.0,27697.4,32043.1,1.0,0.0,2,4
146.0,10.0.0.1-10.0.0.5,101.428,461.0,27502.2,32014.2,1.0,0.0,2,4
147.0,10.0.0.1-10.0.0.5,191.3326,833.0,28711.4,31780.9,1.0,0.0,2,4
148.0,10.0.0.1-10.0.0.5,10.5122,50.0,26280.4,31800.1,1.0,0.0,2,4
149.0,10.0.0.1-10.0.0.5,338.3347,1469.0,28789.5,31969.1,1.0,0.0,2,4
150.0,10.0.0.1-10.0.0.5,247.5483,1147.0,26977.8,31927.5,1.0,0.0,2,4
151.0,10.0.0.1-10.0.0.5,27.3538,152.0,22494.9,30815.0,1.0,0.0,2,4
153.0,10.0.0.1-10.0.0.5,229.738,1180.0,24336.7,30910.3,1.0,0.0,2,4
154.0,10.0.0.1-10.0.0.5,143.4925,691.0,25957.4,31736.2,1.0,0.0,2,4
155.0,10.0.0.1-10.0.0.5,299.4279,1454.0,25741.7,31517.5,1.0,0.0,2,4
156.0,10.0.0.1-10.0.0.5,279.0555,1253.0,27838.7,32012.8,1.0,0.0,2,4
157.0,10.0.0.1-10.0.0.5,273.3183,1304.0,26200.0,31784.4,1.0,0.0,2,4
158.0,10.0.0.1-10.0.0.5,275.4186,1310.0,26280.4,31800.1,1.0,0.0,2,4
159.0,10.0.0.1-10.0.0.5,255.4215,1181.0,27034.5,31872.7,1.0,0.0,2,4
160.0,10.0.0.1-10.0.0.5,273.3151,1298.0,26320.8,31808.0,1.0,0.0,2,4
161.0,10.0.0.1-10.0.0.5,46.281,252.0,22956.8,30964.2,1.0,0.0,2,4
163.0,10.0.0.1-10.0.0.5,71.5217,406.0,22020.2,30049.6,1.0,0.0,2,4
164.0,10.0.0.1-10.0.0.5,86.1955,402.0,26802.1,31897.1,1.0,0.0,2,4
165.0,10.0.0.1-10.0.0.5,86.1923,396.0,27207.2,31966.3,1.0,0.0,2,4
166.0,10.0.0.1-10.0.0.5,86.2018,414.0,26027.1,31749.9,1.0,0.0,2,4
167.0,10.0.0.1-10.0.0.5,86.1902,392.0,27484.1,32010.6,1.0,0.0,2,4
168.0,10.0.0.1-10.0.0.5,86.2029,416.0,25902.3,31724.3,1.0,0.0,2,4
169.0,10.0.0.1-10.0.0.5,86.1976,406.0,26538.7,31849.2,1.0,0.0,2,4
170.0,10.0.0.1-10.0.0.5,73.5798,340.0,27051.4,31940.3,1.0,0.0,2,4
171.0,10.0.0.1-10.0.0.5,23.5595,153.0,19247.9,28065.5,1.0,0.0,2,4
173.0,10.0.0.1-10.0.0.5,258.5538,1434.0,22537.8,30037.2,1.0,0.0,2,4
174.0,10.0.0.1-10.0.0.5,659.6884,2588.0,31862.8,32372.1,1.0,0.0,2,4
175.0,10.0.0.1-10.0.0.5,641.1067,2715.0,29516.9,32243.7,1.0,0.0,2,4
176.0,10.0.0.1-10.0.0.5,719.8929,3184.0,28262.1,32118.7,1.0,0.0,2,4
177.0,10.0.0.1-10.0.0.5,911.5921,3694.0,30847.1,32346.2,1.0,0.0,2,4
178.0,10.0.0.1-10.0.0.5,664.6653,2856.0,29090.7,32216.5,1.0,0.0,2,4
179.0,10.0.0.1-10.0.0.5,593.8706,2326.0,31914.8,32380.2,1.0,0.0,2,4
180.0,10.0.0.1-10.0.0.5,825.2057,3366.0,30644.9,32335.4,1.0,0.0,2,4
181.0,10.0.0.1-10.0.0.5,856.0831,3541.0,30220.4,32315.6,1.0,0.0,2,4
182.0,10.0.0.1-10.0.0.5,122.9269,517.0,29721.2,32286.3,1.0,0.0,2,4
0.0,10.0.0.3-10.0.0.7,16.8216,84.0,25032.1,31531.9,1.0,0.0,2,4
1.0,10.0.0.3-10.0.0.7,21.0212,94.0,27953.7,32080.1,1.0,0.0,2,4
2.0,10.0.0.3-10.0.0.7,18.9198,86.0,27499.7,32013.0,1.0,0.0,2,4
3.0,10.0.0.3-10.0.0.7,21.0254,102.0,25766.4,31695.9,1.0,0.0,2,4
4.0,10.0.0.3-10.0.0.7,18.9208,88.0,26876.2,31910.2,1.0,0.0,2,4
5.0,10.0.0.3-10.0.0.7,21.0233,98.0,26815.4,31899.5,1.0,0.0,2,4
6.0,10.0.0.3-10.0.0.7,18.9187,84.0,28152.9,32107.5,1.0,0.0,2,4
7.0,10.0.0.3-10.0.0.7,21.0212,94.0,27953.7,32080.1,1.0,0.0,2,4
8.0,10.0.0.3-10.0.0.7,18.9198,86.0,27499.7,32013.0,1.0,0.0,2,4
9.0,10.0.0.3-10.0.0.7,21.0233,98.0,26815.4,31899.5,1.0,0.0,2,4
10.0,10.0.0.3-10.0.0.7,18.9198,86.0,27499.7,32013.0,1.0,0.0,2,4
11.0,10.0.0.3-10.0.0.7,21.0212,94.0,27953.7,32080.1,1.0,0.0,2,4
12.0,10.0.0.3-10.0.0.7,18.9187,84.0,28152.9,32107.5,1.0,0.0,2,4
13.0,10.0.0.3-10.0.0.7,21.0222,96.0,27372.7,31993.1,1.0,0.0,2,4
14.0,10.0.0.3-10.0.0.7,21.0212,94.0,27953.7,32080.1,1.0,0.0,2,4
15.0,10.0.0.3-10.0.0.7,18.9177,82.0,28837.9,32192.0,1.0,0.0,2,4
16.0,10.0.0.3-10.0.0.7,21.0212,94.0,27953.7,32080.1,1.0,0.0,2,4
