timestamp,flow,mbps,pps,avg_pkt,std_pkt,tcp_ratio,udp_ratio,flow_count,active_hosts
0.0,10.0.0.1-10.0.0.5,21.0743,187.0,14087.1,24463.6,1.0,0.0,2,4
1.0,10.0.0.1-10.0.0.5,21.0275,106.0,24796.6,31475.5,1.0,0.0,2,4
2.0,10.0.0.1-10.0.0.5,18.9208,88.0,26876.2,31910.2,1.0,0.0,2,4
3.0,10.0.0.1-10.0.0.5,21.0233,98.0,26815.4,31899.5,1.0,0.0,2,4
4.0,10.0.0.1-10.0.0.5,18.9187,84.0,28152.9,32107.5,1.0,0.0,2,4
5.0,10.0.0.1-10.0.0.5,21.0222,96.0,27372.7,31993.1,1.0,0.0,2,4
6.0,10.0.0.1-10.0.0.5,18.9187,84.0,28152.9,32107.5,1.0,0.0,2,4
7.0,10.0.0.1-10.0.0.5,21.0201,92.0,28559.9,32159.5,1.0,0.0,2,4
8.0,10.0.0.1-10.0.0.5,18.9177,82.0,28837.9,32192.0,1.0,0.0,2,4
9.0,10.0.0.1-10.0.0.5,21.0222,96.0,27372.7,31993.1,1.0,0.0,2,4
10.0,10.0.0.1-10.0.0.5,18.9198,86.0,27499.7,32013.0,1.0,0.0,2,4
11.0,10.0.0.1-10.0.0.5,21.0201,92.0,28559.9,32159.5,1.0,0.0,2,4
12.0,10.0.0.1-10.0.0.5,18.9198,86.0,27499.7,32013.0,1.0,0.0,2,4
13.0,10.0.0.1-10.0.0.5,21.0201,92.0,28559.9,32159.5,1.0,0.0,2,4
14.0,10.0.0.1-10.0.0.5,19.9623,86.0,29015.0,32220.1,1.0,0.0,2,4
15.0,10.0.0.1-10.0.0.5,19.9786,94.0,26567.3,31846.5,1.0,0.0,2,4
16.0,10.0.0.1-10.0.0.5,21.0233,98.0,26815.4,31899.5,1.0,0.0,2,4
17.0,10.0.0.1-10.0.0.5,18.9187,84.0,28152.9,32107.5,1.0,0.0,2,4
18.0,10.0.0.1-10.0.0.5,21.0222,96.0,27372.7,31993.1,1.0,0.0,2,4
19.0,10.0.0.1-10.0.0.5,18.9198,86.0,27499.7,32013.0,1.0,0.0,2,4
20.0,10.0.0.1-10.0.0.5,21.0243,100.0,26280.4,31800.1,1.0,0.0,2,4
21.0,10.0.0.1-10.0.0.5,18.9208,88.0,26876.2,31910.2,1.0,0.0,2,4
22.0,10.0.0.1-10.0.0.5,21.0233,98.0,26815.4,31899.5,1.0,0.0,2,4
23.0,10.0.0.1-10.0.0.5,18.9208,88.0,26876.2,31910.2,1.0,0.0,2,4
24.0,10.0.0.1-10.0.0.5,21.0212,94.0,27953.7,32080.1,1.0,0.0,2,4
25.0,10.0.0.1-10.0.0.5,18.9198,86.0,27499.7,32013.0,1.0,0.0,2,4
26.0,10.0.0.1-10.0.0.5,21.0212,94.0,27953.7,32080.1,1.0,0.0,2,4
27.0,10.0.0.1-10.0.0.5,18.9208,88.0,26876.2,31910.2,1.0,0.0,2,4
28.0,10.0.0.1-10.0.0.5,21.0212,94.0,27953.7,32080.1,1.0,0.0,2,4
29.0,10.0.0.1-10.0.0.5,21.0212,94.0,27953.7,32080.1,1.0,0.0,2,4
30.0,10.0.0.1-10.0.0.5,0.0272,32.0,106.4,104.6,1.0,0.0,2,4
32.0,10.0.0.1-10.0.0.5,100.9673,568.0,22219.9,30295.1,1.0,0.0,3,6
33.0,10.0.0.1-10.0.0.5,98.8132,468.0,26392.4,31821.7,1.0,0.0,3,6
34.0,10.0.0.1-10.0.0.5,100.9199,486.0,25956.8,31735.5,1.0,0.0,3,6
35.0,10.0.0.1-10.0.0.5,100.9115,470.0,26838.2,31903.5,1.0,0.0,3,6
36.0,10.0.0.1-10.0.0.5,98.8111,464.0,26619.4,31864.1,1.0,0.0,3,6
