timestamp,flow,mbps,pps,avg_pkt,std_pkt,tcp_ratio,udp_ratio,flow_count,active_hosts
0.0,10.0.0.1-10.0.0.5,20.5046,103.0,24884.3,31493.0,1.0,0.0,2,4
1.0,10.0.0.1-10.0.0.5,21.0243,100.0,26280.4,31800.1,1.0,0.0,2,4
2.0,10.0.0.1-10.0.0.5,4.2049,20.0,26280.4,31800.1,1.0,0.0,2,4
3.0,10.0.0.1-10.0.0.5,35.7625,210.0,21287.2,29533.7,1.0,0.0,2,4
4.0,10.0.0.1-10.0.0.5,18.9314,108.0,21911.3,30629.2,1.0,0.0,2,4
5.0,10.0.0.1-10.0.0.5,21.0349,120.0,21911.3,30629.2,1.0,0.0,2,4
6.0,10.0.0.1-10.0.0.5,14.7244,84.0,21911.3,30629.2,1.0,0.0,2,4
7.0,10.0.0.1-10.0.0.5,25.2524,164.0,19247.3,28421.9,1.0,0.0,2,4
8.0,10.0.0.1-10.0.0.5,18.9282,102.0,23196.4,31042.1,1.0,0.0,2,4
9.0,10.0.0.1-10.0.0.5,21.019,90.0,29193.1,32230.0,1.0,0.0,2,4
10.0,10.0.0.1-10.0.0.5,18.9208,88.0,26876.2,31910.2,1.0,0.0,2,4
11.0,10.0.0.1-10.0.0.5,21.0307,112.0,23471.7,30460.1,1.0,0.0,2,4
12.0,10.0.0.1-10.0.0.5,18.9134,74.0,31948.4,32391.2,1.0,0.0,2,4
13.0,10.0.0.1-10.0.0.5,21.0243,100.0,26280.4,31800.1,1.0,0.0,2,4
14.0,10.0.0.1-10.0.0.5,21.0243,100.0,26280.4,31800.1,1.0,0.0,2,4
15.0,10.0.0.1-10.0.0.5,18.9404,102.0,23211.3,31031.1,1.0,0.0,2,4
16.0,10.0.0.1-10.0.0.5,21.0254,102.0,25766.4,31695.9,1.0,0.0,2,4
17.0,10.0.0.1-10.0.0.5,18.9394,100.0,23674.2,31165.1,1.0,0.0,2,4
18.0,10.0.0.1-10.0.0.5,21.0275,106.0,24796.6,31475.5,1.0,0.0,2,4
19.0,10.0.0.1-10.0.0.5,18.9229,92.0,25710.5,31684.1,1.0,0.0,2,4
20.0,10.0.0.1-10.0.0.5,21.0285,108.0,24338.6,30273.3,1.0,0.0,2,4
21.0,10.0.0.1-10.0.0.5,18.9219,90.0,26280.4,31800.1,1.0,0.0,2,4
22.0,10.0.0.1-10.0.0.5,21.0212,94.0,27953.7,32080.1,1.0,0.0,2,4
23.0,10.0.0.1-10.0.0.5,18.9198,86.0,27499.7,32013.0,1.0,0.0,2,4
24.0,10.0.0.1-10.0.0.5,21.0296,110.0,23897.3,30570.3,1.0,0.0,2,4
25.0,10.0.0.1-10.0.0.5,18.9187,84.0,28152.9,32107.5,1.0,0.0,2,4
26.0,10.0.0.1-10.0.0.5,6.3062,28.0,28152.9,32107.5,1.0,0.0,2,4
27.0,10.0.0.1-10.0.0.5,2.1436,68.0,3940.5,8452.1,1.0,0.0,2,4
28.0,10.0.0.1-10.0.0.5,71.5291,420.0,21288.4,29808.3,1.0,0.0,3,6
29.0,10.0.0.1-10.0.0.5,64.6792,369.0,21910.3,30630.0,1.0,0.0,3,6
30.0,10.0.0.1-10.0.0.5,50.4568,237.0,26612.2,31862.8,1.0,0.0,3,6
31.0,10.0.0.1-10.0.0.5,75.6759,338.0,27986.7,32084.7,1.0,0.0,3,6
32.0,10.0.0.1-10.0.0.5,128.2241,564.0,28418.5,31645.9,1.0,0.0,3,6
33.0,10.0.0.1-10.0.0.5,100.9167,480.0,26280.4,31800.1,1.0,0.0,3,6
34.0,10.0.0.1-10.0.0.5,94.6031,438.0,26998.6,31931.3,1.0,0.0,3,6
35.0,10.0.0.1-10.0.0.5,63.5948,301.0,26409.8,31826.3,1.0,0.0,3,6
36.0,10.0.0.1-10.0.0.5,89.3544,427.0,26157.6,31776.0,1.0,0.0,3,6
37.0,10.0.0.1-10.0.0.5,46.7669,205.0,28516.4,32156.0,1.0,0.0,3,6
38.0,10.0.0.1-10.0.0.5,116.8648,555.0,26320.9,31691.5,1.0,0.0,3,6
39.0,10.0.0.1-10.0.0.5,84.1127,406.0,25896.8,31719.4,1.0,0.0,3,6
40.0,10.0.0.1-10.0.0.5,72.5458,356.0,25472.6,31630.2,1.0,0.0,3,6
