timestamp,flow,mbps,pps,avg_pkt,std_pkt,tcp_ratio,udp_ratio,flow_count,active_hosts
0.0,10.0.0.3-10.0.0.7,21.0264,104.0,25272.2,31587.5,1.0,0.0,2,4
1.0,10.0.0.3-10.0.0.7,21.0243,100.0,26280.4,31800.1,1.0,0.0,2,4
2.0,10.0.0.3-10.0.0.7,29.4309,134.0,27454.2,32005.9,1.0,0.0,2,4
3.0,10.0.0.3-10.0.0.7,25.2239,110.0,28663.5,32171.9,1.0,0.0,2,4
4.0,10.0.0.3-10.0.0.7,18.9229,92.0,25710.5,31684.1,1.0,0.0,2,4
5.0,10.0.0.3-10.0.0.7,21.0233,98.0,26815.4,31899.5,1.0,0.0,2,4
6.0,10.0.0.3-10.0.0.7,18.9187,84.0,28152.9,32107.5,1.0,0.0,2,4
7.0,10.0.0.3-10.0.0.7,21.0243,100.0,26280.4,31800.1,1.0,0.0,2,4
8.0,10.0.0.3-10.0.0.7,18.9208,88.0,26876.2,31910.2,1.0,0.0,2,4
9.0,10.0.0.3-10.0.0.7,21.0243,100.0,26280.4,31800.1,1.0,0.0,2,4
10.0,10.0.0.3-10.0.0.7,18.9261,98.0,24140.4,31308.4,1.0,0.0,2,4
11.0,10.0.0.3-10.0.0.7,4.2377,62.0,8543.7,19249.0,1.0,0.0,2,4
12.0,10.0.0.3-10.0.0.7,6.3495,102.0,7781.2,16944.9,1.0,0.0,3,6
13.0,10.0.0.3-10.0.0.7,58.8755,294.0,25032.1,31531.9,1.0,0.0,3,6
14.0,10.0.0.3-10.0.0.7,60.979,306.0,24909.7,31502.8,1.0,0.0,3,6
15.0,10.0.0.3-10.0.0.7,60.9885,324.0,23529.5,31139.6,1.0,0.0,3,6
16.0,10.0.0.3-10.0.0.7,58.8977,336.0,21911.3,30629.2,1.0,0.0,3,6
17.0,10.0.0.3-10.0.0.7,35.7498,186.0,24025.4,31277.6,1.0,0.0,3,6
18.0,10.0.0.3-10.0.0.7,82.5287,391.0,26383.9,31174.5,1.0,0.0,3,6
19.0,10.0.0.3-10.0.0.7,12.6146,60.0,26280.4,31800.1,1.0,0.0,3,6
20.0,10.0.0.3-10.0.0.7,68.9441,320.0,26931.3,31107.3,1.0,0.0,3,6
21.0,10.0.0.3-10.0.0.7,58.8692,282.0,26094.5,31763.4,1.0,0.0,3,6
22.0,10.0.0.3-10.0.0.7,60.9849,294.0,25928.9,31724.6,1.0,0.0,3,6
23.0,10.0.0.3-10.0.0.7,58.8618,268.0,27454.2,32005.9,1.0,0.0,3,6
24.0,10.0.0.3-10.0.0.7,60.9737,296.0,25749.0,31692.2,1.0,0.0,3,6
25.0,10.0.0.3-10.0.0.7,60.9652,280.0,27216.6,31967.9,1.0,0.0,3,6
26.0,10.0.0.3-10.0.0.7,58.8692,282.0,26094.5,31763.4,1.0,0.0,3,6
27.0,10.0.0.3-10.0.0.7,60.9674,284.0,26834.2,31902.8,1.0,0.0,3,6
28.0,10.0.0.3-10.0.0.7,58.8639,272.0,27051.4,31940.3,1.0,0.0,3,6
29.0,10.0.0.3-10.0.0.7,60.9684,286.0,26647.0,31869.2,1.0,0.0,3,6
30.0,10.0.0.3-10.0.0.7,60.9642,278.0,27412.0,31999.3,1.0,0.0,3,6
31.0,10.0.0.3-10.0.0.7,58.8702,284.0,25911.2,31726.1,1.0,0.0,3,6
32.0,10.0.0.3-10.0.0.7,16.8163,74.0,28405.9,32140.4,1.0,0.0,3,6
33.0,10.0.0.3-10.0.0.7,72.0238,354.0,25432.1,31172.3,1.0,0.0,3,6
34.0,10.0.0.3-10.0.0.7,92.4996,426.0,27141.9,31955.5,1.0,0.0,3,6
35.0,10.0.0.3-10.0.0.7,60.9674,284.0,26834.2,31902.8,1.0,0.0,3,6
36.0,10.0.0.3-10.0.0.7,58.866,276.0,26660.3,31871.6,1.0,0.0,3,6
37.0,10.0.0.3-10.0.0.7,60.9674,284.0,26834.2,31902.8,1.0,0.0,3,6
38.0,10.0.0.3-10.0.0.7,46.2482,210.0,27528.7,32017.5,1.0,0.0,3,6
39.0,10.0.0.3-10.0.0.7,51.8035,233.0,27791.6,30913.3,1.0,0.0,3,6
40.0,10.0.0.3-10.0.0.7,60.9705,290.0,26280.4,31800.1,1.0,0.0,3,6
41.0,10.0.0.3-10.0.0.7,60.9891,302.0,25243.8,31575.9,1.0,0.0,3,6
42.0,10.0.0.3-10.0.0.7,21.0222,96.0,27372.7,31993.1,1.0,0.0,3,6
43.0,10.0.0.3-10.0.0.7,0.0276,32.0,107.6,107.9,1.0,0.0,3,6
44.0,10.0.0.3-10.0.0.7,188.8398,967.0,24410.5,30908.3,1.0,0.0,4,8
45.0,10.0.0.3-10.0.0.7,339.4025,1486.0,28550.0,32102.9,1.0,0.0,4,8
46.0,10.0.0.3-10.0.0.7,393.0758,1685.0,29159.9,32191.7,1.0,0.0,4,8
47.0,10.0.0.3-10.0.0.7,397.8352,1757.0,28303.6,32125.9,1.0,0.0,4,8
48.0,10.0.0.3-10.0.0.7,349.564,1366.0,31987.9,32219.4,1.0,0.0,4,8
49.0,10.0.0.3-10.0.0.7,291.9415,1149.0,31760.4,32331.2,1.0,0.0,4,8
50.0,10.0.0.3-10.0.0.7,157.4624,444.0,44330.6,29993.6,1.0,0.0,4,8
51.0,10.0.0.3-10.0.0.7,262.6227,997.0,32926.6,32398.1,1.0,0.0,4,8
52.0,10.0.0.3-10.0.0.7,220.0698,809.0,34003.4,32364.2,1.0,0.0,4,8
53.0,10.0.0.3-10.0.0.7,118.6688,432.0,34337.0,32355.0,1.0,0.0,4,8
55.0,10.0.0.3-10.0.0.7,22.0353,85.0,32404.9,32438.2,1.0,0.0,4,8
56.0,10.0.0.3-10.0.0.7,37.2341,138.0,33726.6,32427.1,1.0,0.0,4,8
57.0,10.0.0.3-10.0.0.7,93.4654,381.0,30664.5,32364.6,1.0,0.0,4,8
58.0,10.0.0.3-10.0.0.7,27.3088,121.0,28211.6,32133.9,1.0,0.0,4,8
0.0,10.0.0.1-10.0.0.5,21.0233,98.0,26815.4,31899.5,1.0,0.0,2,4
1.0,10.0.0.1-10.0.0.5,21.0233,98.0,26815.4,31899.5,1.0,0.0,2,4
2.0,10.0.0.1-10.0.0.5,29.4309,134.0,27454.2,32005.9,1.0,0.0,2,4
