timestamp,10.0.0.1-10.0.0.5,10.0.0.2-10.0.0.6,10.0.0.3-10.0.0.7,10.0.0.4-10.0.0.8
147.0,191.3326,0.0,196.5378,0.0
148.0,10.5122,0.0,10.5111,0.0
149.0,338.3347,0.0,402.4886,0.0
150.0,247.5483,0.0,240.6939,0.0
151.0,27.3538,0.0,27.3557,0.0
153.0,229.738,0.0,226.5976,0.0
154.0,143.4925,0.0,136.6436,0.0
155.0,299.4279,0.0,190.2855,0.0
156.0,279.0555,0.0,272.2465,0.0
157.0,273.3183,0.0,275.4059,0.0
158.0,275.4186,0.0,275.4239,0.0
159.0,255.4215,0.0,258.0597,0.0
160.0,273.3151,0.0,275.427,0.0
161.0,46.281,0.0,46.2818,0.0
163.0,71.5217,0.0,71.5628,0.0
164.0,86.1955,0.0,86.1955,0.0
165.0,86.1923,0.0,86.1934,0.0
166.0,86.2018,0.0,86.1965,0.0
167.0,86.1902,0.0,86.1997,0.0
168.0,86.2029,0.0,86.206,0.0
169.0,86.1976,0.0,86.1955,0.0
170.0,73.5798,0.0,71.4742,0.0
171.0,23.5595,0.0,31.5682,0.0
173.0,258.5538,318.646,0.0,0.0
174.0,659.6884,889.8361,0.0,0.0
175.0,641.1067,569.6438,0.0,0.0
176.0,719.8929,717.1789,0.0,0.0
177.0,911.5921,930.5404,0.0,0.0
178.0,664.6653,590.537,0.0,0.0
179.0,593.8706,627.3561,0.0,0.0
180.0,825.2057,1003.4925,0.0,0.0
181.0,856.0831,992.2754,0.0,0.0
182.0,122.9269,259.0104,0.0,0.0
