timestamp,link_id,utilization,throughput_mbps,rtt_ms,loss_pct,growth_rate,tx_mbps,rx_mbps,tx_pkts,rx_pkts,tx_errors,rx_errors,dpid,port_no,run_id
1783210366.2165744,dp6:p1,-1.8356,-18.3561,48.653,25.0,0.0,-18.3561,-33.7325,1,2,0,0,6,1,20260704_211232
1783210366.2165744,dp6:p2,-1.2266,-12.2657,48.653,25.0,0.0,-12.2657,-12.5289,2,2,0,0,6,2,20260704_211232
1783210366.2165744,dp6:p3,-1.0175,-25.815,48.653,25.0,0.0,-25.815,-10.1754,3,2,0,0,6,3,20260704_211232
1783210367.2237797,dp7:p1,0.0002,0.002,46.434,25.0,0.0,0.002,0.002,5,6,0,0,7,1,20260704_211232
1783210367.2237797,dp7:p2,0.0001,0.0007,46.434,25.0,0.0,0.0007,0.0,4,3,0,0,7,2,20260704_211232
1783210367.2237797,dp7:p3,0.0003,0.0027,46.434,25.0,0.0,0.0027,0.0,7,4,0,0,7,3,20260704_211232
1783210368.2278693,dp6:p1,0.0001,0.0013,10.255,25.0,0.912713,0.0013,0.0,5,6,0,0,6,1,20260704_211232
1783210368.2278693,dp6:p2,0.0002,0.002,10.255,25.0,0.609941,0.002,0.0,7,2,0,0,6,2,20260704_211232
1783210368.2278693,dp6:p3,0.0001,0.0007,10.255,25.0,0.505947,0.0007,0.0,7,2,0,0,6,3,20260704_211232
1783210369.2303042,dp7:p1,0.0,0.0,10.255,25.0,-9.9e-05,0.0,0.0,6,6,0,0,7,1,20260704_211232
1783210369.2303042,dp7:p2,0.0001,0.0007,10.255,25.0,2e-06,0.0007,0.0,7,3,0,0,7,2,20260704_211232
1783210369.2303042,dp7:p3,0.0,0.0,10.255,25.0,-0.000135,0.0,0.0,7,4,0,0,7,3,20260704_211232
1783210370.23131,dp7:p1,0.0,0.0,10.255,25.0,-7.1e-05,0.0,0.0,6,6,0,0,7,1,20260704_211232
1783210370.23131,dp7:p2,0.0,0.0,10.255,25.0,-1.9e-05,0.0,0.0,7,3,0,0,7,2,20260704_211232
1783210370.23131,dp7:p3,0.0,0.0,10.255,25.0,-9.6e-05,0.0,0.0,7,4,0,0,7,3,20260704_211232
1783210371.2322538,dp1:p1,0.3884,3.884,18.662,25.0,0.0,3.884,0.0083,347,24,0,0,1,1,20260704_211232
1783210371.2322538,dp1:p2,0.3884,0.0083,18.662,25.0,0.0,0.0083,3.884,24,347,0,0,1,2,20260704_211232
1783210372.2331975,dp5:p1,5.7716,57.7161,18.662,25.0,0.0,57.7161,54.574,315,312,0,0,5,1,20260704_211232
1783210372.2331975,dp5:p2,0.0001,0.0006,18.662,25.0,0.0,0.0006,0.0,17,7,0,0,5,2,20260704_211232
1783210372.2331975,dp5:p3,5.7716,54.5735,18.662,25.0,0.0,54.5735,57.7161,314,310,0,0,5,3,20260704_211232
1783210373.233615,dp7:p1,3.5075,35.0749,18.662,25.0,0.606783,35.0749,0.0,6241,26,0,0,7,1,20260704_211232
1783210373.233615,dp7:p2,3.5075,0.0,18.662,25.0,0.606799,0.0,35.0749,26,6235,0,0,7,2,20260704_211232
1783210373.233615,dp7:p3,0.0,0.0,18.662,25.0,-4e-05,0.0,0.0,16,6,0,0,7,3,20260704_211232
1783210375.378858,dp7:p1,3.5094,35.0935,13.213,25.0,0.540791,35.0935,0.0,9188,26,0,0,7,1,20260704_211232
1783210375.378858,dp7:p2,3.5094,0.0,13.213,25.0,0.540799,0.0,35.0935,26,9182,0,0,7,2,20260704_211232
1783210375.378858,dp7:p3,0.0,0.0,13.213,25.0,-2.5e-05,0.0,0.0,16,6,0,0,7,3,20260704_211232
1783210376.3797407,dp7:p1,1.6373,16.373,13.213,25.0,0.401682,16.373,0.0,12134,26,0,0,7,1,20260704_211232
1783210376.3797407,dp7:p2,1.6373,0.0,13.213,25.0,0.401675,0.0,16.373,26,12128,0,0,7,2,20260704_211232
1783210376.3797407,dp7:p3,0.0,0.0,13.213,25.0,0.0,0.0,0.0,16,6,0,0,7,3,20260704_211232
1783210377.381195,dp2:p1,3.5087,0.001,18.579,25.0,0.0,0.001,35.0875,27,15083,0,0,2,1,20260704_211232
1783210377.381195,dp2:p2,9.2807,92.8075,18.579,25.0,0.0,92.8075,53.5333,16287,1228,0,0,2,2,20260704_211232
1783210377.381195,dp2:p3,5.7721,53.5336,18.579,25.0,0.0,53.5336,57.7214,1225,1221,0,0,2,3,20260704_211232
